	A549_CTL_rnaseq	A549_PIC_rnaseq
ZZZ3	3143	380
ZZEF1	5075	940
ZYX	2290	705
ZYG11B	3324	179
ZYG11A	282	37
ZXDC	693	285
ZXDB	1225	1134
ZXDA	274	275
ZWINT	5864	871
ZWILCH	8292	884
ZW10	1957	234
ZUP1	781	589
ZSWIM9	429	114
ZSWIM8-AS1	337	762
ZSWIM8	1025	2121
ZSWIM7	759	145
ZSWIM6	1277	1042
ZSWIM5P3	0	34
ZSWIM5	196	30
ZSWIM4	143	125
ZSWIM3	60	161
ZSWIM1	329	967
ZSCAN9	480	252
ZSCAN5C	2	12
ZSCAN5B	0	43
ZSCAN5A-AS1	26	69
ZSCAN5A	245	153
ZSCAN32	935	787
ZSCAN31	157	397
ZSCAN30	169	135
ZSCAN29	1647	2333
ZSCAN26	512	155
ZSCAN25	710	366
ZSCAN23	0	12
ZSCAN22	319	244
ZSCAN21	416	287
ZSCAN20	446	261
ZSCAN2	307	156
ZSCAN18	19	4
ZSCAN16-AS1	122	453
ZSCAN16	283	180
ZSCAN12P1	12	129
ZSCAN12	837	1380
ZRSR2P1	149	166
ZRSR2	1203	994
ZRANB3	935	106
ZRANB2-DT	2	26
ZRANB2-AS1	620	868
ZRANB2	4869	7616
ZRANB1	2637	714
ZPR1	2828	1849
ZPLD1	10	46
ZP3	463	39
ZP1	4	16
ZNRF3	1759	153
ZNRF2P2	59	21
ZNRF2P1	172	6
ZNRF2	840	180
ZNRF1	540	57
ZNRD2-DT	22	491
ZNRD2	734	269
ZNRD1ASP	446	528
ZNNT1	51	199
ZNHIT6	2700	460
ZNHIT3	2780	806
ZNHIT2	106	428
ZNHIT1	1772	505
ZNFX1	5302	16823
ZNF92	1574	4802
ZNF91	92	51
ZNF90	20	2
ZNF891	1034	765
ZNF887P	48	65
ZNF883	108	6
ZNF880	13	7
ZNF879	113	54
ZNF875	1009	351
ZNF865	416	299
ZNF862	280	327
ZNF860	216	135
ZNF853	59	36
ZNF852	131	87
ZNF850	108	79
ZNF85	10	6
ZNF846	52	51
ZNF845	919	466
ZNF843	9	23
ZNF841	223	175
ZNF84-DT	0	15
ZNF84	1489	1170
ZNF839	827	318
ZNF837	30	15
ZNF836	28	29
ZNF833P	13	24
ZNF830	1053	5994
ZNF83	14	5
ZNF829	43	39
ZNF827	555	259
ZNF826P	12	0
ZNF823	367	97
ZNF821	57	83
ZNF816	10	4
ZNF815P	34	6
ZNF814	1123	665
ZNF813	89	11
ZNF81	1018	296
ZNF808	12	4
ZNF805	384	282
ZNF800	1943	535
ZNF80	0	35
ZNF8-ERVK3-1	2614	1434
ZNF8-DT	127	34
ZNF8	596	340
ZNF799	194	109
ZNF793	9	26
ZNF792	148	4
ZNF791	818	894
ZNF790-AS1	3	12
ZNF79	243	227
ZNF789	600	1631
ZNF787	855	578
ZNF786	518	102
ZNF785	16	42
ZNF784	176	171
ZNF783	489	682
ZNF782	324	257
ZNF780B	944	249
ZNF780A	2585	994
ZNF778-DT	78	916
ZNF778	474	518
ZNF777	859	284
ZNF776	1054	2542
ZNF775-AS1	10	14
ZNF775	143	83
ZNF774	116	68
ZNF773	272	515
ZNF772	158	120
ZNF771	882	64
ZNF770	7932	3702
ZNF77	110	214
ZNF768	1063	770
ZNF767P	453	448
ZNF766	1150	621
ZNF765	914	269
ZNF764	245	184
ZNF761	1116	739
ZNF76	344	155
ZNF75D	717	251
ZNF75A	930	1040
ZNF750	3	60
ZNF749	586	133
ZNF747-DT	32	45
ZNF747	222	147
ZNF746	1081	577
ZNF740	1241	1553
ZNF74	323	101
ZNF738	33	49
ZNF731P	1230	1542
ZNF726	108	257
ZNF724	292	75
ZNF721	1622	1151
ZNF718	140	50
ZNF717	196	136
ZNF714	1416	421
ZNF713	137	121
ZNF711	336	710
ZNF710-AS1	252	56
ZNF710	509	104
ZNF71	416	30
ZNF708	225	191
ZNF707	307	1117
ZNF706	1743	1572
ZNF705EP	19	14
ZNF705A	6	15
ZNF704	1543	429
ZNF703	197	844
ZNF701	14	50
ZNF700	36	6
ZNF70	266	70
ZNF7	1289	1378
ZNF699	89	159
ZNF697	168	597
ZNF696	498	160
ZNF695	89	43
ZNF692	559	323
ZNF691-DT	212	93
ZNF691	364	122
ZNF689	708	1494
ZNF688	90	63
ZNF687-AS1	33	108
ZNF687	888	797
ZNF684	174	128
ZNF680	867	458
ZNF678	1056	308
ZNF675	628	416
ZNF674-AS1	163	1846
ZNF674	309	220
ZNF672	746	106
ZNF671	75	182
ZNF670-ZNF695	60	42
ZNF670	376	717
ZNF669	229	572
ZNF668	315	153
ZNF664	11615	2390
ZNF658B	54	25
ZNF658	531	234
ZNF655	6180	6130
ZNF654	1152	993
ZNF653	100	27
ZNF652	1529	143
ZNF649	20	8
ZNF646	1156	2636
ZNF644	3115	757
ZNF641	859	706
ZNF639	1603	352
ZNF638	9640	2721
ZNF630	101	67
ZNF629	2507	997
ZNF628	70	194
ZNF627	396	618
ZNF625-ZNF20	9	24
ZNF624	515	77
ZNF623	2765	1701
ZNF622	2090	978
ZNF621	1469	1591
ZNF620	298	378
ZNF619	433	166
ZNF618	2934	145
ZNF616	106	53
ZNF615	388	281
ZNF614	738	571
ZNF613	157	44
ZNF611	288	68
ZNF609	6273	332
ZNF608	239	302
ZNF607	633	157
ZNF606	225	768
ZNF605	1228	274
ZNF603P	0	18
ZNF602P	4	41
ZNF600	10	4
ZNF599	68	76
ZNF598	1484	613
ZNF597	264	478
ZNF596	66	619
ZNF595	575	210
ZNF594-DT	18	45
ZNF594	504	629
ZNF593OS	291	127
ZNF593	281	121
ZNF592	3060	648
ZNF589	415	179
ZNF587B	2449	1562
ZNF587	1696	797
ZNF586	495	307
ZNF585B	320	263
ZNF585A	307	536
ZNF584-DT	379	555
ZNF584	674	66
ZNF583	208	79
ZNF582-DT	6	26
ZNF582	32	71
ZNF581	376	319
ZNF580	333	703
ZNF579	510	738
ZNF577	13	10
ZNF576	501	284
ZNF575	202	53
ZNF574	905	2623
ZNF573	178	44
ZNF572	60	129
ZNF571	64	22
ZNF570	268	245
ZNF57	120	85
ZNF56P	17	19
ZNF569	931	238
ZNF568	42	23
ZNF567-DT	102	179
ZNF567	1091	1197
ZNF566-AS1	33	224
ZNF566	1581	363
ZNF565	281	81
ZNF564	307	95
ZNF562	1322	645
ZNF561-AS1	1097	531
ZNF561	969	393
ZNF559-ZNF177	62	20
ZNF559	314	39
ZNF558	569	840
ZNF557	326	778
ZNF556	0	18
ZNF555	198	115
ZNF554	33	126
ZNF552	515	550
ZNF551	615	491
ZNF550	514	513
ZNF549	186	110
ZNF548	318	192
ZNF547	81	230
ZNF546	601	402
ZNF544	666	181
ZNF543	243	189
ZNF542P	110	47
ZNF532	3406	363
ZNF530	365	197
ZNF529-AS1	58	193
ZNF529	566	627
ZNF527	466	149
ZNF526	1048	350
ZNF525	35	46
ZNF524	158	73
ZNF519	362	231
ZNF518B	937	555
ZNF518A	3715	1092
ZNF517	188	151
ZNF516-DT	10	2
ZNF516-AS1	29	28
ZNF516	390	114
ZNF514	1399	1017
ZNF513	270	678
ZNF512B	1456	1128
ZNF512	3211	2700
ZNF511-PRAP1	593	391
ZNF511	1051	1300
ZNF510	1024	442
ZNF507	6510	3047
ZNF506	41	65
ZNF503-AS2	90	200
ZNF503-AS1	0	21
ZNF503	291	8505
ZNF502	192	143
ZNF501	0	26
ZNF500	381	154
ZNF497-AS1	27	44
ZNF497	189	73
ZNF496-DT	383	467
ZNF496	1597	340
ZNF493	2	12
ZNF490	96	89
ZNF488	963	230
ZNF487	205	79
ZNF485	266	77
ZNF484	535	181
ZNF483	489	289
ZNF480	2157	613
ZNF48	631	106
ZNF474	27	17
ZNF473	1500	911
ZNF470-DT	20	5
ZNF470	298	73
ZNF469	1693	203
ZNF468	66	81
ZNF467	42	138
ZNF462	1134	652
ZNF461	500	914
ZNF460-AS1	9	79
ZNF460	126	52
ZNF451-AS1	398	186
ZNF451	2123	776
ZNF45-AS1	21	6
ZNF45	1189	608
ZNF449	941	259
ZNF446	248	186
ZNF445	1315	288
ZNF444	514	595
ZNF443	167	32
ZNF44	52	36
ZNF438	270	73
ZNF436-AS1	60	492
ZNF436	692	795
ZNF432	331	498
ZNF431	820	657
ZNF430	468	148
ZNF43	221	69
ZNF428	890	317
ZNF426	187	269
ZNF425	135	200
ZNF420	460	114
ZNF419	322	604
ZNF418	113	76
ZNF417	610	488
ZNF416	247	238
ZNF414	119	227
ZNF410	2811	508
ZNF41	990	114
ZNF408	334	308
ZNF407-AS1	315	1480
ZNF407	719	55
ZNF404	14	14
ZNF398	1136	299
ZNF397	1200	2004
ZNF396	78	91
ZNF395	849	393
ZNF394	932	965
ZNF391	58	10
ZNF385C	52	141
ZNF385A	274	802
ZNF384	2191	682
ZNF383	620	692
ZNF382	6	46
ZNF37BP	871	162
ZNF37A	3025	472
ZNF367	2180	621
ZNF365	204	12
ZNF362	479	42
ZNF358	242	41
ZNF354C	413	111
ZNF354B	684	587
ZNF354A	1029	410
ZNF350-AS1	0	55
ZNF350	179	297
ZNF35	422	136
ZNF346-IT1	12	5
ZNF346	1050	289
ZNF345	4	10
ZNF343	1226	377
ZNF341-AS1	8	34
ZNF341	196	38
ZNF34	212	211
ZNF33B	1237	918
ZNF33A	2635	561
ZNF337-AS1	2117	973
ZNF337	1974	854
ZNF335	725	2562
ZNF333	266	409
ZNF331	1300	1880
ZNF330	1464	1962
ZNF329	237	169
ZNF326	3021	1304
ZNF324B	294	57
ZNF324	407	259
ZNF322P1	8	26
ZNF322	759	2251
ZNF32-AS2	104	53
ZNF32-AS1	101	34
ZNF32	596	154
ZNF319	572	317
ZNF318	1978	337
ZNF317	1585	1439
ZNF316	800	2629
ZNF311	27	99
ZNF304	208	231
ZNF302	2200	6718
ZNF300P1	0	24
ZNF300	1107	702
ZNF30	655	306
ZNF3	1599	1040
ZNF296	57	567
ZNF295-AS1	49	165
ZNF292	1271	312
ZNF287	567	146
ZNF286B	226	199
ZNF286A-TBC1D26	1014	240
ZNF286A	2187	641
ZNF285DP	14	19
ZNF285BP	11	38
ZNF285	173	50
ZNF284	125	63
ZNF283	651	254
ZNF282	1028	304
ZNF281	4456	4040
ZNF280D	2595	751
ZNF280C	1148	1302
ZNF280B	566	261
ZNF280A	175	1205
ZNF28	69	34
ZNF277	1013	96
ZNF276	1353	736
ZNF275	1020	425
ZNF274	727	1030
ZNF273	409	202
ZNF271P	1456	650
ZNF268	1211	981
ZNF267	1434	1790
ZNF266	440	416
ZNF264	563	463
ZNF263	1950	5536
ZNF260	3105	2342
ZNF26	874	509
ZNF256	90	138
ZNF254	1570	691
ZNF252P-AS1	13	132
ZNF252P	1537	695
ZNF251	723	202
ZNF250	266	341
ZNF25	720	112
ZNF24TR	10	0
ZNF248	1252	162
ZNF24	5525	11200
ZNF239	249	50
ZNF236-DT	0	27
ZNF236	984	183
ZNF235	607	280
ZNF234	392	438
ZNF233	46	23
ZNF232-AS1	94	226
ZNF232	315	87
ZNF230-DT	97	206
ZNF230	316	319
ZNF23	694	1764
ZNF229	303	285
ZNF227	826	338
ZNF226	765	1699
ZNF225-AS1	610	715
ZNF225	410	305
ZNF224	1020	1114
ZNF223	176	274
