RetainedRef	DuplicateRef
Homo_sapiens_tRNA-Gly-TCC-2-2::chr1:161447560-161447681	Homo_sapiens_tRNA-Gly-TCC-2-3::chr1:161454941-161455062
Homo_sapiens_tRNA-Gly-TCC-2-2::chr1:161447560-161447681	Homo_sapiens_tRNA-Gly-TCC-2-4::chr1:161462351-161462472
Homo_sapiens_tRNA-Gly-TCC-2-2::chr1:161447560-161447681	Homo_sapiens_tRNA-Gly-TCC-2-5::chr1:161469732-161469853
Homo_sapiens_tRNA-Leu-CAG-1-2::chr1:161448926-161449058	Homo_sapiens_tRNA-Leu-CAG-1-3::chr1:161456307-161456439
Homo_sapiens_tRNA-Leu-CAG-1-2::chr1:161448926-161449058	Homo_sapiens_tRNA-Leu-CAG-1-4::chr1:161463717-161463849
Homo_sapiens_tRNA-Leu-CAG-1-2::chr1:161448926-161449058	Homo_sapiens_tRNA-Leu-CAG-1-5::chr1:161471098-161471230
Homo_sapiens_tRNA-Gln-CTG-3-1::chr1:145459633-145459754	Homo_sapiens_tRNA-Gln-CTG-3-2::chr1:148032765-148032886
Homo_sapiens_tRNA-Asp-GTC-2-1::chr1:161440800-161440921	Homo_sapiens_tRNA-Asp-GTC-2-2::chr1:161448218-161448339
Homo_sapiens_tRNA-Asp-GTC-2-1::chr1:161440800-161440921	Homo_sapiens_tRNA-Asp-GTC-2-3::chr1:161455599-161455720
Homo_sapiens_tRNA-Asp-GTC-2-1::chr1:161440800-161440921	Homo_sapiens_tRNA-Asp-GTC-2-4::chr1:161463009-161463130
Homo_sapiens_tRNA-Asp-GTC-2-1::chr1:161440800-161440921	Homo_sapiens_tRNA-Asp-GTC-2-5::chr1:161470390-161470511
Homo_sapiens_tRNA-Asn-GTT-11-1::chr1:120952266-120952389	Homo_sapiens_tRNA-Asn-GTT-11-2::chr1:149646426-149646549
Homo_sapiens_tRNA-Glu-CTC-1-2::chr1:161447203-161447324	Homo_sapiens_tRNA-Glu-CTC-1-3::chr1:161454583-161454704
Homo_sapiens_tRNA-Glu-CTC-1-2::chr1:161447203-161447324	Homo_sapiens_tRNA-Glu-CTC-1-4::chr1:161461994-161462115
Homo_sapiens_tRNA-Glu-CTC-1-2::chr1:161447203-161447324	Homo_sapiens_tRNA-Glu-CTC-1-5::chr1:161469374-161469495
Homo_sapiens_tRNA-Gly-GCC-1-1::chr1:161443279-161443399	Homo_sapiens_tRNA-Gly-GCC-1-2::chr1:161450652-161450772
Homo_sapiens_tRNA-Gly-GCC-1-1::chr1:161443279-161443399	Homo_sapiens_tRNA-Gly-GCC-1-3::chr1:161458083-161458203
Homo_sapiens_tRNA-Gly-GCC-1-1::chr1:161443279-161443399	Homo_sapiens_tRNA-Gly-GCC-1-4::chr1:161465443-161465563
Homo_sapiens_tRNA-Ile-GAT-1-2::chrX:3876776-3876899	Homo_sapiens_tRNA-Ile-GAT-1-3::chrX:3915205-3915328
