RetainedRef	DuplicateRef
Homo_sapiens_tRNA-Glu-CTC-1-2	Homo_sapiens_tRNA-Glu-CTC-1-3
Homo_sapiens_tRNA-Glu-CTC-1-2	Homo_sapiens_tRNA-Glu-CTC-1-4
Homo_sapiens_tRNA-Glu-CTC-1-2	Homo_sapiens_tRNA-Glu-CTC-1-5
Homo_sapiens_tRNA-Gly-TCC-2-2	Homo_sapiens_tRNA-Gly-TCC-2-3
Homo_sapiens_tRNA-Gly-TCC-2-2	Homo_sapiens_tRNA-Gly-TCC-2-4
Homo_sapiens_tRNA-Gly-TCC-2-2	Homo_sapiens_tRNA-Gly-TCC-2-5
Homo_sapiens_tRNA-Gly-GCC-1-1	Homo_sapiens_tRNA-Gly-GCC-1-2
Homo_sapiens_tRNA-Gly-GCC-1-1	Homo_sapiens_tRNA-Gly-GCC-1-3
Homo_sapiens_tRNA-Gly-GCC-1-1	Homo_sapiens_tRNA-Gly-GCC-1-4
Homo_sapiens_tRNA-Ile-GAT-1-2	Homo_sapiens_tRNA-Ile-GAT-1-3
Homo_sapiens_tRNA-Gln-CTG-3-1	Homo_sapiens_tRNA-Gln-CTG-3-2
Homo_sapiens_tRNA-Asp-GTC-2-1	Homo_sapiens_tRNA-Asp-GTC-2-2
Homo_sapiens_tRNA-Asp-GTC-2-1	Homo_sapiens_tRNA-Asp-GTC-2-3
Homo_sapiens_tRNA-Asp-GTC-2-1	Homo_sapiens_tRNA-Asp-GTC-2-4
Homo_sapiens_tRNA-Asp-GTC-2-1	Homo_sapiens_tRNA-Asp-GTC-2-5
Homo_sapiens_tRNA-Leu-CAG-1-2	Homo_sapiens_tRNA-Leu-CAG-1-3
Homo_sapiens_tRNA-Leu-CAG-1-2	Homo_sapiens_tRNA-Leu-CAG-1-4
Homo_sapiens_tRNA-Leu-CAG-1-2	Homo_sapiens_tRNA-Leu-CAG-1-5
